"","Country","Subject.Descriptor","Units","Scale","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"33","Afghanistan","General government net lending/borrowing","National currency","Billions",NA,NA,-0.176,-4.624,-5.891,-2.941,2.225,-10.654,-20.09,-10.803,6.56,-5.618,1.882,-7.047,-20.334,-16.898,1.556,-8.653,21.697,-15.55,-34.703,NA
"34","Afghanistan","General government net lending/borrowing","Percent of GDP","",NA,NA,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.127,-0.673,1.634,-1.058,-2.243,NA
"37","Afghanistan","General government primary net lending/borrowing","National currency","Billions",NA,NA,NA,NA,-5.891,-2.797,2.364,-10.524,-19.994,-10.691,6.643,-4.794,2.66,-6.075,-19.935,-16.27,2.35,-7.767,22.486,-14.971,-34.131,NA
"38","Afghanistan","General government primary net lending/borrowing","Percent of GDP","",NA,NA,NA,NA,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.192,-0.604,1.694,-1.019,-2.206,NA
"41","Afghanistan","General government gross debt","National currency","Billions",NA,NA,618.456,595.36,603.134,629.234,79.485,86.083,98.622,98.658,54.784,62.726,69.865,77.111,102.928,112.281,103.181,102.807,98.042,90.092,114.461,NA
"42","Afghanistan","General government gross debt","Percent of GDP","",NA,NA,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.697,7.501,6.759,6.904,8.7,9.154,8.437,7.998,7.384,6.13,7.397,NA
"43","Afghanistan","Gross domestic product corresponding to fiscal year, current prices","National currency","Billions",NA,NA,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,1033.59,1116.83,1183.04,1226.57,1222.92,1285.46,1327.69,1469.6,1547.29,NA
"44","Afghanistan","Current account balance","U.S. dollars","Billions",NA,NA,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.291,1.35,0.744,1.627,1.431,2.237,2.209,2.247,NA
"45","Afghanistan","Current account balance","Percent of GDP","",NA,NA,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,1.444,6.549,3.709,9.029,7.576,12.158,11.705,11.157,NA
"46","Albania","Gross domestic product, constant prices","National currency","Billions",391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.042,788.941,821.061,838.908,811.13,854.12
"47","Albania","Gross domestic product, constant prices","Percent change","",6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.002,1.774,2.219,3.315,3.802,4.071,2.174,-3.311,5.3
"48","Albania","GDP Domestic Currency","National currency","Billions",501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.68,1143.94,1239.65,1300.62,1332.81,1350.05,1395.3,1434.31,1472.48,1550.65,1635.72,1679.25,1607.98,1719.11
"49","Albania","GDP U.S. Dollars","U.S. dollars","Billions",3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.147,15.283,14.828,16.77
"50","Albania","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",13.362,14.796,15.708,16.904,18.315,19.933,21.761,23.686,25.951,26.994,28.331,29.655,30.53,30.604,32.529,33.595,34.736,37.609,40.075,41.678,40.784,44.493
"51","Albania","Gross domestic product, deflator","Index","",128.076,132.957,137.806,144.97,149.54,154.485,158.314,165.258,172.062,176.223,184.141,188.404,190.368,190.917,193.876,194.97,193.736,196.548,199.22,200.171,198.239,201.272
"52","Albania","Gross domestic product per capita, constant prices","National currency","Units",126683.82,138483.63,145200.81,153802.8,162964.38,172852.94,184214.3,196717.32,213100.25,221737.48,231101.54,237622.4,241389.08,244254.9,249104.36,255373.98,264261.32,273541.79,284820.03,291195.14,281857.57,297298.71
"53","Albania","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",6039,6601.5,6921.7,7331.76,7768.49,8239.88,8781.47,9377.49,10158.46,10570.2,11016.58,11327.43,11506.99,11643.6,11874.77,12173.64,12597.3,13039.7,13577.33,13881.23,13436.11,14172.19
"54","Albania","GDP p.c. Domestic currency","National currency","Units",162251.41,184123.19,200095.8,222968.14,243696.87,267031.94,291636.22,325091.66,366664.68,390752.87,425552.92,447689.08,459526.46,466324.39,482953.89,497901.38,511970.55,537640.48,567417.75,582887.09,558752.52,598379.5
"55","Albania","GDP p.c. U.S. Dollars","U.S. dollars","Units",1127.64,1283.57,1425.13,1846.12,2373.58,2673.77,2972.75,3595.05,4370.56,4114.09,4097.83,4439.89,4248.91,4415.6,4584.92,3953.61,4124.41,4525.89,5254.46,5305.07,5152.56,5837.18
"56","Albania","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",4325.59,4835.02,5148.56,5561.21,6050.65,6619.06,7271.78,7975.19,8805.05,9220.65,9725.55,10207.74,10526.27,10570.98,11259.26,11662,12077.6,13039.7,13901.67,14467.09,14171.93,15487
"58","Albania","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",0.027,0.028,0.029,0.029,0.029,0.029,0.029,0.03,0.031,0.032,0.032,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031
"59","Albania","Implied PPP conversion rate","National currency per current international dollar","",37.51,38.081,38.864,40.093,40.276,40.343,40.105,40.763,41.643,42.378,43.756,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.817,40.291,39.427,38.638
"60","Albania","Total investment","Percent of GDP","",30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.671,24.34,22.79,20.728,20.798
"61","Albania","Gross national savings","Percent of GDP","",23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.129,14.879,14.365,15.091
"62","Albania","Inflation, average consumer prices","Index","",66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.287,103.298,105.372,106.887,108.6,110.613
"63","Albania","Inflation, average consumer prices","Percent change","",0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.287,1.986,2.008,1.438,1.603,1.854
"64","Albania","Inflation, end of period consumer prices","Index","",70.004,72.474,73.692,76.123,77.8,79.385,81.38,83.843,85.7,88.7,91.8,93.4,95.7,97.4,98.1,100,102.165,104.004,105.844,107.143,108.225,110.482
"65","Albania","Inflation, end of period consumer prices","Percent change","",4.205,3.527,1.681,3.298,2.204,2.038,2.513,3.027,2.215,3.501,3.495,1.743,2.463,1.776,0.719,1.937,2.165,1.801,1.769,1.227,1.01,2.085
"67","Albania","Volume of imports of goods and services","Percent change","",-3.432,23.272,11.868,8.409,10.704,8.434,5.354,18.942,3.538,-2.231,-9.316,3.63,-7.602,-0.611,5.416,0.076,8.3,5.993,5.765,4.716,-19.427,11.358
"68","Albania","Volume of Imports of goods","Percent change","",-14.3,33.181,6.066,7.733,21.067,9.912,7.124,21.229,-0.695,-2.6,-10.946,3.794,-5.191,-1.304,6.11,2.168,9.436,4.331,4.233,3.454,-4.892,6.359
"69","Albania","Volume of exports of goods and services","Percent change","",16.254,23.9,3.878,9.51,20.63,6.026,12.576,16.993,-7.631,3.321,10.473,1.008,-0.405,8.291,3.309,5.272,10.396,10.099,3.484,1.675,-27.496,15.826
"70","Albania","Volume of exports of goods","Percent change","",-7.088,23.048,8.253,25.15,24.013,2.948,5.272,19.979,-55.018,-15.622,60.916,12.192,23.249,26.697,-6.215,4.356,-0.285,-1.647,14.139,-8.461,-2.127,17.296
"71","Albania","Unemployment","Percent of total labor force","",16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,15.9,17.5,17.1,15.2,13.7,12.3,11.47,11.675,12
"73","Albania","Population","Persons","Millions",3.089,3.06,3.051,3.04,3.027,3.011,2.993,2.97,2.947,2.928,2.913,2.905,2.9,2.895,2.889,2.881,2.876,2.884,2.883,2.881,2.878,2.873
"74","Albania","General government revenue","National currency","Billions",130.642,145.639,154.595,167.224,184.355,204.533,226.283,252.291,290.078,298.487,320.653,330.449,330.384,323.709,366.569,379.231,418.463,430.397,449.389,460.349,425.904,469.761
"75","Albania","General government revenue","Percent of GDP","",26.066,25.848,25.323,24.674,24.992,25.434,25.928,26.13,26.842,26.093,25.867,25.407,24.789,23.978,26.272,26.44,28.419,27.756,27.474,27.414,26.487,27.326
"76","Albania","General government total expenditure","National currency","Billions",169.596,184.163,192.517,201.152,222.439,232.339,254.762,282.987,342.86,373.832,364.29,376.183,376.241,394.117,442.718,441.161,429.073,451.989,471.407,493.241,536.278,584.846
"77","Albania","General government total expenditure","Percent of GDP","",33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.193,31.729,30.758,29.139,29.148,28.82,29.373,33.351,34.02
"78","Albania","General government net lending/borrowing","National currency","Billions",-38.954,-38.524,-37.922,-33.928,-38.083,-27.806,-28.479,-30.695,-52.782,-75.345,-43.637,-45.734,-45.857,-70.408,-76.149,-61.931,-10.61,-21.592,-22.018,-32.892,-110.374,-115.085
"79","Albania","General government net lending/borrowing","Percent of GDP","",-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.215,-5.458,-4.318,-0.721,-1.392,-1.346,-1.959,-6.864,-6.694
"82","Albania","General government primary net lending/borrowing","National currency","Billions",-9.381,-14.904,-13.159,-4.105,-9.66,-1.777,-3.474,-5.166,-21.476,-39.044,-2.033,-4.611,-4.359,-27.073,-36.074,-23.288,25.649,10.312,14.495,2.251,-75.98,-76.896
"83","Albania","General government primary net lending/borrowing","Percent of GDP","",-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.005,-2.585,-1.624,1.742,0.665,0.886,0.134,-4.725,-4.473
"84","Albania","General government net debt","National currency","Billions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756.42,807.38,921.361,914.43,986.827,1028.47,1015.75,1006.16,1022.7,1149.11,1248.55
"85","Albania","General government net debt","Percent of GDP","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.158,60.577,68.246,65.536,68.802,69.846,65.505,61.512,60.902,71.463,72.628
"86","Albania","General government gross debt","National currency","Billions",319.608,341.522,391.308,408.3,423.962,468.05,494.737,517.043,595.883,682.547,715.517,772.735,828.268,950.316,1004.51,1057.32,1079.69,1114.83,1136.96,1138.4,1247.28,1400.64
"87","Albania","General government gross debt","Percent of GDP","",63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.509,67.792,77.568,81.475
"88","Albania","Gross domestic product corresponding to fiscal year, current prices","National currency","Billions",501.199,563.449,610.494,677.738,737.656,804.163,872.735,965.528,1080.68,1143.94,1239.65,1300.62,1332.81,1350.05,1395.3,1434.31,1472.48,1550.65,1635.72,1679.25,1607.98,1719.11
"89","Albania","Current account balance","U.S. dollars","Billions",-0.246,-0.248,-0.443,-0.432,-0.42,-0.733,-0.592,-1.13,-2.031,-1.853,-1.351,-1.666,-1.257,-1.183,-1.43,-0.981,-0.898,-0.978,-1.024,-1.166,-1.318,-1.45
"90","Albania","Current account balance","Percent of GDP","",-7.07,-6.315,-10.179,-7.695,-5.849,-9.106,-6.656,-10.58,-15.768,-15.383,-11.321,-12.917,-10.202,-9.253,-10.797,-8.609,-7.572,-7.492,-6.758,-7.628,-8.888,-8.644
"91","Algeria","Gross domestic product, constant prices","National currency","Billions",4103.98,4227.1,4463.82,4785.21,4990.98,5285.44,5374.48,5555.75,5686.88,5779.7,5988.7,6162.37,6371.89,6550.3,6799.22,7050.79,7276.41,7378.28,7466.82,7526.56,7157.75,7401.85
"92","Algeria","Gross domestic product, constant prices","Percent change","",3.8,3,5.6,7.2,4.3,5.9,1.684,3.373,2.36,1.632,3.616,2.9,3.4,2.8,3.8,3.7,3.2,1.4,1.2,0.8,-4.9,3.41
"93","Algeria","GDP Domestic Currency","National currency","Billions",4123.5,4227.1,4522.8,5252.3,6149.1,7562,8501.64,9352.89,11043.7,9968.03,11991.56,14589,16209.6,16647.9,17228.6,16712.69,17514.6,18876.2,20452.3,20428.3,18723.5,22291.12
"94","Algeria","GDP U.S. Dollars","U.S. dollars","Billions",54.749,54.745,56.761,67.864,85.332,103.198,117.027,134.977,171.001,137.211,161.207,200.02,209.059,209.755,213.81,165.979,160.034,170.207,175.367,171.07,147.6,163.812
"95","Algeria","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",261.998,275.938,295.932,323.5,346.468,378.416,396.663,421.124,439.329,449.362,471.208,494.947,497.33,497.988,506.135,477.358,471.382,485.802,503.376,516.48,497.091,532.567
"96","Algeria","Gross domestic product, deflator","Index","",100.476,100,101.321,109.761,123.204,143.072,158.185,168.346,194.196,172.466,200.237,236.743,254.392,254.155,253.391,237.033,240.704,255.835,273.909,271.416,261.583,301.156
"97","Algeria","Gross domestic product per capita, constant prices","National currency","Units",134530.28,136560.7,142096.44,150077.23,154204.31,160871.84,161148.9,164089.77,164403.3,163879.39,166454.45,167834.26,169939.75,171039.61,173830.74,176432.86,178186.2,176848.14,175368.05,173327.08,161841.28,164397.78
"98","Algeria","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",8857.76,8991.45,9355.94,9881.41,10153.14,10592.15,10610.39,10804.02,10824.67,10790.17,10959.72,11050.57,11189.2,11261.62,11445.39,11616.72,11732.16,11644.06,11546.61,11412.23,10655.98,10824.3
"99","Algeria","GDP p.c. Domestic currency","National currency","Units",135170.13,136560.7,143974.02,164726.36,189986.41,230162.84,254913.97,276238.6,319265.23,282636.54,333302.68,397336.38,432313.64,434705.07,440471.44,418203.99,428900.97,452438.82,480349.01,470438.01,423349.99,495094.11
"100","Algeria","GDP p.c. U.S. Dollars","U.S. dollars","Units",1794.7,1768.58,1806.86,2128.39,2636.48,3141.03,3508.96,3986.56,4943.5,3890.52,4480.72,5447.6,5575.65,5477.06,5466.33,4153.32,3918.94,4079.65,4118.74,3939.54,3337.32,3638.33
"101","Algeria","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",8588.41,8914.44,9420.38,10145.84,10704.69,11517.75,11893.6,12437.94,12700.67,12741.34,13097.1,13480.05,13263.91,13003.31,12940,11944.99,11543.3,11644.06,11822.44,11893.88,11239.55,11828.52
"103","Algeria","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",0.521,0.524,0.538,0.554,0.549,0.555,0.536,0.525,0.523,0.533,0.525,0.519,0.496,0.473,0.464,0.429,0.408,0.399,0.39,0.383,0.377,0.368
"104","Algeria","Implied PPP conversion rate","National currency per current international dollar","",15.739,15.319,15.283,16.236,17.748,19.983,21.433,22.209,25.138,22.183,25.449,29.476,32.593,33.43,34.04,35.011,37.156,38.856,40.63,39.553,37.666,41.856
"105","Algeria","Total investment","Percent of GDP","",23.563,26.841,30.654,30.341,33.263,31.656,30.17,34.469,37.348,46.876,41.43,38.055,39.158,43.39,45.554,50.781,50.778,48.544,47.279,45.991,42.597,41.434
"106","Algeria","Gross national savings","Percent of GDP","",40.261,39.737,38.333,43.32,46.29,52.143,54.872,57.119,57.461,47.167,48.936,47.946,45.034,43.778,41.131,34.326,34.221,35.424,37.634,36.08,29.921,33.808
"107","Algeria","Inflation, average consumer prices","Index","",95.969,100,101.433,105.755,109.952,111.472,114.048,118.244,123.985,131.103,136.23,142.36,155.053,160.1,164.77,172.653,183.699,193.97,202.253,206.2,211.18,224.845
"108","Algeria","Inflation, average consumer prices","Percent change","",0.3,4.2,1.433,4.261,3.968,1.382,2.311,3.679,4.855,5.741,3.911,4.5,8.916,3.255,2.917,4.784,6.398,5.591,4.27,1.952,2.415,6.471
"109","Algeria","Inflation, end of period consumer prices","Index","",95.969,100,102.1,107.78,110.14,111.49,115.77,121.33,127.23,134.55,138.216,145.348,158.48,160.3,168.72,176.08,188.33,197.62,202.96,207.9,215.21,231.481
"110","Algeria","Inflation, end of period consumer prices","Percent change","",0.3,4.2,2.1,5.563,2.19,1.226,3.839,4.803,4.863,5.753,2.725,5.16,9.035,1.148,5.253,4.362,6.957,4.933,2.702,2.434,3.516,7.56
"112","Algeria","Volume of imports of goods and services","Percent change","",7.6,11.2,23.2,-2.911,21.906,6.465,0.444,24.57,37.277,3.624,-0.038,6.21,7.419,7.574,9.185,-6.076,-1.34,-0.845,-1.52,-9.66,-18.895,1.922
"113","Algeria","Volume of Imports of goods","Percent change","",4.196,4.261,27.673,7.032,25.583,6.857,1.178,21.006,34.081,2.522,-0.062,7.134,11.483,9.499,11.281,-5.546,-1.919,-2.015,-2.923,-7.744,-18.076,1.657
"114","Algeria","Volume of exports of goods and services","Percent change","",3.325,-1.696,5.798,6.754,2.729,4.954,-3.007,-1.882,-3.568,-8.443,-3.218,-4.822,-3.652,-6.394,0.311,5.733,9.612,0.042,-7.913,-2.954,-4.154,0.768
"115","Algeria","Volume of exports of goods","Percent change","",4.952,-2.225,3.64,7.286,3.386,5.276,-2.356,-1.933,-3.264,-10.312,-2.883,-3.815,-4.004,-6.89,0.474,1.755,7.883,2.628,-6.888,-4.463,-9.322,5.204
"116","Algeria","Unemployment","Percent of total labor force","",29.496,27.306,25.664,23.716,17.656,15.265,12.512,13.793,11.343,10.167,9.961,9.971,10.969,9.829,10.6,11.214,10.498,11.709,11.731,11.383,13.956,14.071
"118","Algeria","Population","Persons","Millions",30.506,30.954,31.414,31.885,32.366,32.855,33.351,33.858,34.591,35.268,35.978,36.717,37.495,38.297,39.114,39.963,40.836,41.721,42.578,43.424,44.227,45.024
"119","Algeria","General government revenue","National currency","Billions",1578.16,1479.1,1603.28,1947.44,2215.17,3080.7,3639.91,3725.65,5253.05,3667.48,4462.33,5838.34,6339.34,5957.55,5738.07,5104.74,5011.58,6047.89,6826.88,6601.58,5904.06,6010.02
"120","Algeria","General government revenue","Percent of GDP","",38.272,34.991,35.449,37.078,36.024,40.739,42.814,39.834,47.566,36.792,37.212,40.019,39.109,35.786,33.305,30.544,28.614,32.04,33.38,32.316,31.533,26.961
"121","Algeria","General government total expenditure","National currency","Billions",1178.12,1321.03,1550.65,1691.35,1891.77,2049.9,2453.01,3108.57,4191.05,4246.33,4466.94,5853.57,7058.17,6024.13,6995.77,7656.33,7297.49,7282.63,7732.07,7741.35,7073.94,8071.15
"122","Algeria","General government total expenditure","Percent of GDP","",28.571,31.251,34.285,32.202,30.765,27.108,28.853,33.236,37.95,42.6,37.251,40.123,43.543,36.186,40.606,45.811,41.665,38.581,37.805,37.895,37.781,36.208
"123","Algeria","General government net lending/borrowing","National currency","Billions",400.037,158.076,52.638,256.083,323.396,1030.79,1186.89,617.077,1062,-578.851,-4.613,-15.227,-718.834,-66.585,-1257.7,-2551.6,-2285.91,-1234.75,-905.189,-1139.77,-1169.89,-2061.13
"124","Algeria","General government net lending/borrowing","Percent of GDP","",9.701,3.74,1.164,4.876,5.259,13.631,13.961,6.598,9.616,-5.807,-0.038,-0.104,-4.435,-0.4,-7.3,-15.267,-13.051,-6.541,-4.426,-5.579,-6.248,-9.246
"127","Algeria","General government primary net lending/borrowing","National currency","Billions",522.273,245.012,124.589,300.871,316.984,1013.3,1170.16,604.633,1038.12,-627.316,-60.823,-194.721,-860.011,-74.977,-1279.7,-2647.75,-2298.13,-1165.86,-942.848,-1261.71,-1151.49,-2130.77
"128","Algeria","General government primary net lending/borrowing","Percent of GDP","",12.666,5.796,2.755,5.728,5.155,13.4,13.764,6.465,9.4,-6.293,-0.507,-1.335,-5.306,-0.45,-7.428,-15.843,-13.121,-6.176,-4.61,-6.176,-6.15,-9.559
"129","Algeria","General government net debt","National currency","Billions",2591.58,2046.07,2043.6,1605.43,1443.46,146.981,-921.632,-1952.33,-3919.52,-3951.28,-4041.68,-4535.21,-4706.29,-4997.48,-3756.28,-1275.29,2331.75,4008.73,5155.67,6167.96,8900.02,12491.06
"130","Algeria","General government net debt","Percent of GDP","",62.849,48.404,45.184,30.566,23.474,1.944,-10.841,-20.874,-35.491,-39.64,-33.704,-31.086,-29.034,-30.019,-21.803,-7.631,13.313,21.237,25.208,30.193,47.534,56.036
